sample_id,order_id,lot_id,wafer_id,product_id,route_id,process_step,equipment_name,chamber_id,process_time_sec,target_bad_a,eds_bin_no_wf_mean,eds_bin_a_wf_mean,eds_bin_b_wf_mean,eds_bin_c_wf_mean,eds_yield_wf_mean,sensor_temp_zone1_mean,sensor_temp_zone2_mean,sensor_pressure_chamber_mean,sensor_rf_power_mean,sensor_gas_flow_o2_mean,sensor_gas_flow_ar_mean,sensor_vacuum_leak_rate,sensor_plasma_impedance_std,sensor_endpoint_time_sec,sensor_plasma_instability_score,measure_cd_post_etch_mean_nm,measure_cd_post_etch_std_nm,measure_overlay_x_nm,measure_overlay_y_nm,measure_thickness_post_cvd_nm,measure_film_resistance_ohm,measure_inline_particle_density,midproc_defect_particle_count,midproc_defect_scratch_count,midproc_defect_bridge_count,midproc_defect_residue_count,midproc_defect_void_count,midproc_defect_pattern_collapse_count,midproc_defect_microbridge_count,bad_only_residue_signature,good_only_stable_signature,sim_true_defect_a_flag,sim_true_defect_b_flag,sim_true_defect_c_flag,sim_true_defect_d_flag,sim_dominant_defect
O003_W0000,3,LOT_03_06,7,P_C,R_BASE,CMP,ETCH_02,CH_B,1822.7,0,1.2267,0.042,0.0028,0.0341,0.9269,308.561,326.693,2.8567,882.986,131.151,193.162,0.06913,0.3047,60.047,0.384,42.7404,0.7094,3.0392,-2.9143,778.6819,44.4995,0.08953,2,1,1,2,0,0,2,,0.9731223312683982,0,0,0,0,GOOD
O003_W0001,3,LOT_03_02,19,P_B,R_FAST,ETCH,ETCH_01,CH_C,1891.6,0,1.3284,0.0693,0.0031,0.0029,0.9196,316.249,310.971,2.8677,911.327,117.003,217.211,0.1025,0.3083,60.21,1.2179,44.0973,0.9696,-0.1586,0.671,771.7778,39.5887,0.25151,2,2,2,0,4,1,1,,1.2411253198595384,0,0,0,0,GOOD
O003_W0002,3,LOT_03_01,2,P_B,R_BASE,CVD,ETCH_01,CH_A,1701.7,0,1.272,0.0402,0.0402,0.0291,0.9465,322.809,321.538,3.0049,872.522,123.156,212.797,0.09593,0.5274,60.504,0.746,42.4517,0.9097,0.0911,0.275,778.7889,40.0115,0.14845,1,2,0,2,1,0,0,,1.00193429704955,0,0,0,0,GOOD
O003_W0003,3,LOT_03_07,7,P_A,R_REWORK,ETCH,CVD_01,CH_B,2153.2,0,1.1718,0.0657,0.0216,0.0047,0.9254,314.774,314.202,3.0036,869.673,127.345,209.336,0.0376,0.316,61.86,1.2264,39.4902,1.3933,8.3521,2.2915,749.2042,39.0818,0.17872,4,3,2,1,0,1,1,,1.083909816539957,0,0,0,0,GOOD
O003_W0004,3,LOT_03_08,9,P_B,R_BASE,CMP,PHOTO_01,CH_B,1761.2,0,1.1385,0.0071,0.0429,0.0167,0.9395,324.782,321.311,3.0235,882.537,116.512,191.955,0.11308,0.5287,54.471,0.6782,40.4624,0.9689,1.7804,-0.5004,806.7854,40.3446,0.18299,3,0,0,4,2,0,0,,0.8533745038099732,0,0,0,0,GOOD
O003_W0005,3,LOT_03_02,3,P_C,R_BASE,PHOTO,ETCH_01,CH_B,1843.7,0,1.5292,0.0647,0.0268,0.1173,0.8808,326.883,320.104,3.0196,840.878,126.703,208.141,0.05265,0.3359,60.371,1.3657,41.8653,1.2411,8.7881,0.8045,791.9402,36.4636,0.30245,9,3,1,2,3,0,2,,0.9359728964665347,0,0,1,0,C
O003_W0006,3,LOT_03_07,2,P_A,R_BASE,CVD,CMP_01,CH_A,1759.0,0,1.2765,0.0099,0.0549,0.032,0.9314,325.352,318.344,3.0019,800.73,127.229,197.338,0.09044,0.3869,65.31,-0.3918,40.6078,1.3323,1.7058,-3.4489,777.4855,38.3012,0.1714,6,1,1,5,2,0,2,,1.0421318346202646,0,0,0,0,GOOD
O003_W0007,3,LOT_03_07,17,P_B,R_BASE,CMP,ETCH_01,CH_D,1667.1,0,1.2261,0.0488,0.0312,0.0376,0.9369,323.366,322.19,3.0044,856.597,133.287,210.021,0.10216,0.4825,63.65,0.9833,39.8007,1.242,4.5235,-1.8855,781.4876,39.0116,0.16208,5,2,1,1,2,2,1,,1.0172466949563175,0,0,0,0,GOOD
O003_W0008,3,LOT_03_06,7,P_A,R_FAST,CMP,CVD_01,CH_C,1878.1,0,1.152,0.034,0.0172,0.0309,0.9457,325.101,326.009,2.9444,817.059,129.985,203.585,0.07754,0.3928,66.614,0.8778,40.7216,1.1701,-8.4572,2.866,782.5956,33.3263,0.21616,3,1,1,3,1,0,1,,1.1542438780934685,0,0,0,0,GOOD
O003_W0009,3,LOT_03_01,6,P_A,R_BASE,ETCH,ETCH_03,CH_D,2013.6,0,1.3488,0.0215,0.038,0.0301,0.9517,323.424,321.297,3.1096,820.938,131.331,203.27,0.09926,0.4323,59.231,-0.764,41.7352,1.3515,9.4147,-0.0477,778.2798,35.7398,0.17879,4,2,0,0,1,1,1,,1.2295655246419621,0,0,0,0,GOOD
